PRODUTTORE	41 161 136 169
ALSTOM	165 161 221 168
FERROVIA	228 161 295 168
SPA	300 161 325 168
Unit.	41 195 73 204
Loc.	79 196 104 204
FIRENZE	166 196 219 203
-	225 200 228 201
Via	234 196 253 203
del	259 195 278 203
Romito	285 196 332 203
7	338 196 344 203
50134	354 196 395 203
FIRENZE	401 196 455 203
(FI)	461 195 480 205
Referente	41 230 108 238
Luca	166 231 194 239
Spadi	204 230 239 241
Telefono	40 253 100 261
3423261346	169 254 253 261
Data	41 277 71 284
Richiesta	78 276 138 284
20/01/2022	176 276 255 286
Orario	284 277 327 284
richiesta	332 276 389 284
09:00	438 277 476 284

PRODUTTORE	41 161 135 168
SPAZIO	165 161 213 168
SOC	218 161 245 168
COOP	250 161 288 168
Unit.	41 195 73 204
Loc.	79 196 104 204
Via	165 196 184 203
S.	189 194 208 206
Agostino,	206 196 268 205
2	275 196 281 203
51100	287 196 328 203
PISTOIA	334 196 386 203
(PT)	391 195 416 205
Referente	41 230 108 238
MICHELE	166 231 225 239
.	231 237 233 239
Telefono	40 253 100 261
3395833947	165 254 248 261
Data	41 277 71 284
Richiesta	78 276 138 284
19/01/2022	177 276 255 286
Orario	284 277 327 284
richiesta	332 276 389 284
10:00	439 277 476 284

PRODUTTORE	41 161 136 169
ALSTOM	165 161 221 168
FERROVIA	228 161 295 168
SPA	300 161 325 168
Unit.	41 195 73 204
Loc.	79 196 104 204
FIRENZE	166 196 219 203
-	225 200 228 201
Via	234 196 253 203
del	259 195 278 203
Romito	285 196 332 203
7	338 196 344 203
50134	354 196 395 203
FIRENZE	401 196 455 203
(FI)	461 195 480 205
Referente	41 230 108 238
DONATO	166 230 225 239
.	231 237 232 238
07984290010	658 231 750 238
Telefono	40 253 100 261
3497278444	165 254 249 261
Data	41 277 71 284
Richiesta	78 276 138 284
17/02/2022	177 276 255 286
Orario	284 277 327 284
richiesta	332 276 389 284
10:00	439 277 476 284

